gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
979753384																										OBS242157952										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS242157952	OBS242157952		obsr176459		2											PRESENT																			2008-11-08T00:00:00				2008	11	8												SOUTH_AMERICA				EC	Galápagos			Isla Bartolome									-0.284871	-90.55391																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T14:56:53.434Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T14:56:53.434Z	2022-03-02T17:41:33.833Z	false										EN	
979673920																										OBS240628663										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS240628663	OBS240628663		obsr131029		1											PRESENT																			2002-03-19T00:00:00				2002	3	19												SOUTH_AMERICA				EC	Galápagos			Isla Bartolome									-0.284871	-90.55391																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T14:58:24.528Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T14:58:24.528Z	2022-03-02T17:41:33.833Z	false										EN	
979256803																										OBS237818541										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS237818541	OBS237818541		obsr27185													PRESENT																			2000-12-21T00:00:00				2000	12	21												SOUTH_AMERICA				EC	Galápagos			Isla Bartolome									-0.284871	-90.55391																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T14:57:22.288Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T14:57:22.288Z	2022-03-02T17:41:33.833Z	false										EN	
979230739																										OBS238216563										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS238216563	OBS238216563		obsr387235		2											PRESENT																			2003-12-03T00:00:00				2003	12	3												SOUTH_AMERICA				EC	Galápagos			Galapagos, Sombrero Chino									-0.370529	-90.58331																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T14:59:08.174Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T14:59:08.174Z	2022-03-02T17:41:33.833Z	false										EN	
979222171																										OBS238188928										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS238188928	OBS238188928		obsr387235		2											PRESENT																			2003-12-09T00:00:00				2003	12	9												SOUTH_AMERICA				EC	Galápagos			Galapagos, Floreanna									-1.227374	-90.43973																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T14:57:26.386Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T14:57:26.386Z	2022-03-02T17:41:33.833Z	false		ECU	Ecuador	ECU.9_1	Galápagos	ECU.9.2_1	San Cristóbal	ECU.9.2.2_1	Isla Santa Mara (Floreana) (Cab.	EN	
979217938																										OBS238236722										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS238236722	OBS238236722		obsr387235		3											PRESENT																			2003-12-11T00:00:00				2003	12	11												SOUTH_AMERICA				EC	Galápagos			Galapagos, Isabella									-0.928936	-91.14093																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T14:56:49.789Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T14:56:49.789Z	2022-03-02T17:41:33.833Z	false		ECU	Ecuador	ECU.9_1	Galápagos	ECU.9.1_1	Isabela	ECU.9.1.2_1	Tomas De Berlanga (Santo Tomas)	EN	
978997948																										OBS236773703										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS236773703	OBS236773703		obsr309839		12											PRESENT																			2010-12-15T00:00:00				2010	12	15												SOUTH_AMERICA				EC	Galápagos			Isla Bartolome									-0.284871	-90.55391																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T15:16:11.314Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T15:16:11.314Z	2022-03-02T17:41:33.833Z	false										EN	
978961397																										OBS237009085										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS237009085	OBS237009085		obsr355944		12											PRESENT																			2006-01-21T00:00:00				2006	1	21												SOUTH_AMERICA				EC	Galápagos			Floreana--Punta Cormorant									-1.226127	-90.42834																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T14:58:59.495Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T14:58:59.495Z	2022-03-02T17:41:33.833Z	false		ECU	Ecuador	ECU.9_1	Galápagos	ECU.9.2_1	San Cristóbal	ECU.9.2.2_1	Isla Santa Mara (Floreana) (Cab.	EN	
978951709																										OBS237007861										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS237007861	OBS237007861		obsr355944		2											PRESENT																			2006-01-24T00:00:00				2006	1	24												SOUTH_AMERICA				EC	Galápagos			Isla Bartolome									-0.284871	-90.55391																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T15:15:35.398Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T15:15:35.398Z	2022-03-02T17:41:33.833Z	false										EN	
978274297																										OBS233192071										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS233192071	OBS233192071		obsr226000		3											PRESENT																			2007-11-10T00:00:00				2007	11	10												SOUTH_AMERICA				EC	Galápagos			Isla Isabela									-0.80106	-91.12871																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T14:59:21.542Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T14:59:21.542Z	2022-03-02T17:41:33.833Z	false		ECU	Ecuador	ECU.9_1	Galápagos	ECU.9.1_1	Isabela	ECU.9.1.2_1	Tomas De Berlanga (Santo Tomas)	EN	
